Altitude(m),Pressure(mPa),Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.674802257302927,0,-0.07146601253853271,-0.8034680205107688,9.719955228818872,0.0007058111899419871,0.0013334966886072185,-0.00037342479710106405
-0.014198026670595429,0,-0.016898273275975987,-0.8572536648184833,87.67328607285523,-0.0004845556996046265,-0.0009290705094471476,-0.0005085271518425907
0.31633752438738194,0,0.10810134747765938,-0.8137442443563582,78.34223791663693,-0.0005268217550061746,0.0014103893827839594,-0.0005963789201268872
2.814207318430857,0,-0.02769448998663397,-0.7674107986289228,74.37746616075991,-0.0012540854012907542,-0.0009984797380608542,0.0017499827306921463
4.726694104305888,0,-0.09674185009594612,-0.7520381598993432,74.08721085693074,-0.0012379281483826494,-0.0011674699087027317,0.00030642304877581016
6.865580146835666,0,0.05978945925920683,0.010649328202692116,76.45622106592373,-0.0026824857315973036,0.0005329255776179033,-7.876114188286264e-05
11.165172391888992,0,-0.027016674658585944,-0.07083485098121658,77.23949097780527,-0.001255496120992615,0.0006192945478732994,0.0018550755415559581
13.940273805956936,0,-0.04478264370752404,-0.0129647802113581,77.9472088278771,-0.003157483235537167,-0.0002986087819355209,-0.00012258445590576615
18.725473927533002,0,-0.06216406976062904,0.012112019493959,78.65034701376194,-0.008275152596140839,-0.00028318542883155163,-0.00161688216991963
24.912766025836632,0,-0.056832662948317625,-0.09598187266124274,79.47087651771936,-0.015603542534161978,0.0013089771352249838,-0.0006905529389277987
30.116637280417656,0,0.009834725060608816,0.004398381330887151,80.1393965659867,-0.021594209370575473,0.001226820045775532,-0.0010487341335602383
37.427180379587206,0,-0.012910719757174689,0.003108265023476449,78.75156551932433,-0.02564424831161883,1.249041688669106e-06,-0.00022094409533544447
44.812794558261245,0,0.06601365781748299,-0.014894192122913777,77.28779346547682,-0.029578072131013523,-0.0013150415100230386,0.0013261153574349658
53.798185432242526,0,-0.05465850316027429,-0.04667458045753408,75.81522735185776,-0.028609076773255016,-0.0008870502794061968,-9.53548733039168e-05
61.27776698423479,0,-0.02633702572055601,0.02874490622224743,74.30359467403477,-0.02272610419242828,0.00021255069574392904,-0.0007709268909382703
71.2515256310672,0,-0.0872902944668793,0.06443631283558317,72.7301585249133,-0.012691830351297836,-0.0005095569766478316,0.0018931591324258576
81.83867448503347,0,0.03408495749974496,0.1232428619512963,72.3393517026275,-0.003527789893033188,0.0006371875488159826,-0.0001303882482366327
91.40070531915069,0,-0.002995243843546106,-0.04029449613717352,72.16555741977227,0.005213860235104767,0.0006083777577561586,0.000980941378800855
102.87495733308302,0,-0.08019866569893022,0.009927540168525732,71.81160858265783,0.005193030199147849,-0.0005255790456909403,-0.0011760595217189403
115.08542858663108,0,-0.022241434355590416,-0.07841102419097146,71.55486116177656,-0.001245851550837968,0.00020665091002615673,-0.0005920381902658951
127.43638840892173,0,0.025988735165635077,-0.06933126547346284,71.09750164644498,-0.010110126452753823,0.0009594479703446105,-0.0001793048403839064
140.4873073133215,0,0.06328738319216844,-0.03322599390775963,70.413547127943,-0.01823122403373532,0.0011035852515221174,0.0007792528198584985
154.840517488047,0,0.007913331308673204,0.005277543878909054,69.47734316705105,-0.01711341708924704,-0.0007146235019609065,0.001253398186148615
168.88372603567478,0,0.039191341089624264,0.009919120726469666,68.69816448417379,-0.01291032545368656,-0.00021405059449998028,0.0011075852947491096
184.89378005786793,0,0.011993732521536168,-0.04392953036433586,67.82632853431173,-0.0046386681490426605,-0.0011682333279791845,-5.806067150829126e-05
199.6177588250314,0,0.06080293066337142,0.02228995870659254,66.89224294600112,0.003094506923778246,-0.002077577747648125,0.0017059108347270782
215.73781060254126,0,-0.05283864647111067,-0.07956310365775118,65.45382541884356,-0.00044632245961671657,-0.0006162151225596345,-0.00011779597788933498
230.92446402393213,0,-0.07498752973836986,-0.09780279088453742,64.05308574601847,-0.010395577596769304,0.0013144519366145608,0.0018111945580611588
248.54757405334183,0,-0.03701253859446958,0.0033757703490117346,62.44242383101476,-0.012938040381754478,0.00040427730954898365,-0.0010406362357126067
268.0592653064439,0,-0.02345585821728231,0.1358554760842036,61.080086654873945,-0.008991539808152057,-0.0003933997972034744,0.0006151319751676502
286.00041356687996,0,-0.112920370036511,0.03648221021453871,59.53704707415364,-0.00404456604739344,-0.00018707348233705723,0.0008860066293660703
