alt,pressure,ax,ay,az,pitch,roll,yaw,gps_alt,lat,lon,vel,status,phase
0.0,,,,,-0.0011243553599342704,-0.00014545164594892412,-0.00012613373110070825,,,,,0,IDLE
0.2747722566127777,,,,,-0.0015975036658346653,-0.0013363838661462069,0.0006560005713254213,,,,,1,BOOST
0.6630502939224243,,,,,2.195032539020758e-05,-0.003194924211129546,0.0006365783629007638,,,,,1,BOOST
1.288148045539856,,,,,-0.001521000755019486,-0.002282005501911044,0.0020939339883625507,,,,,1,BOOST
1.9941855669021606,,,,,-0.0010188334854319692,-0.0032971592154353857,0.00045633901027031243,,,,,1,BOOST
2.911404609680176,,,,,-0.0008140059653669596,-0.008973379619419575,-0.0001548923901282251,,,,,1,BOOST
4.108480453491211,,,,,-0.00013322853192221373,-0.024389445781707764,-0.00027668947586789727,,,,,1,BOOST
5.680488586425781,,,,,0.0033096761908382177,-0.05839579552412033,0.0009497584542259574,,,,,1,BOOST
7.605013847351074,,,,,0.003980560228228569,-0.12358194589614868,0.0031343018636107445,,,,,1,BOOST
10.10271167755127,,,,,0.004756418522447348,-0.2217092216014862,0.003704455215483904,,,,,1,BOOST
13.320615768432617,,,,,0.0068049198016524315,-0.3516768515110016,0.0031642341054975986,,,,,1,BOOST
17.311786651611328,,,,,0.006152843590825796,-0.5070783495903015,0.004273209720849991,,,,,1,BOOST
22.33031463623047,,,,,0.0065175737254321575,-0.6708204746246338,0.004521569237112999,,,,,1,BOOST
28.715160369873047,,,,,0.007345554418861866,-0.8205961585044861,0.002603474073112011,,,,,1,BOOST
36.58138656616211,,,,,0.005512948147952557,-0.9293078780174255,0.0016024978831410408,,,,,1,BOOST
45.62764358520508,,,,,0.005284101702272892,-0.9793761372566223,0.002940376987680793,,,,,1,BOOST
56.188148498535156,,,,,0.004627235699445009,-0.9768567681312561,0.0035246119368821383,,,,,1,BOOST
68.19495391845703,,,,,0.004476829897612333,-0.9453624486923218,0.0008273362764157355,,,,,1,BOOST
81.5083236694336,,,,,0.004029504489153624,-0.9241994023323059,0.0017564126756042242,,,,,1,BOOST
95.74341583251953,,,,,0.0048707337118685246,-0.9492188096046448,0.0023440865334123373,,,,,1,BOOST
110.96582794189453,,,,,0.004500362556427717,-1.0287781953811646,0.003193461336195469,,,,,1,BOOST
126.8472900390625,,,,,0.002705581719055772,-1.134976863861084,0.004407025407999754,,,,,1,BOOST
143.51742553710938,,,,,0.0032990765757858753,-1.22490656375885,0.006257625296711922,,,,,1,BOOST
160.70553588867188,,,,,0.003742809873074293,-1.2674058675765991,0.004203681834042072,,,,,1,BOOST
178.41152954101562,,,,,0.00376745848916471,-1.2605749368667603,0.0034980790223926306,,,,,1,BOOST
196.58535766601562,,,,,0.003653158200904727,-1.2519928216934204,0.0023143484722822905,,,,,1,BOOST
215.41920471191406,,,,,0.0019081351347267628,-1.2803337574005127,0.0027008927427232265,,,,,1,BOOST
234.59283447265625,,,,,0.0028856468852609396,-1.3493597507476807,0.004048248287290335,,,,,1,BOOST
254.2343292236328,,,,,0.004307552706450224,-1.422934889793396,0.006542680785059929,,,,,1,BOOST
274.16302490234375,,,,,0.003876748029142618,-1.4599052667617798,0.0075549716129899025,,,,,1,BOOST
297.0490417480469,,,,,0.0006944633205421269,-1.4626483917236328,0.00805113185197115,,,,,1,BOOST
318.2939758300781,,,,,-0.0010904585942626,-1.465796709060669,0.0075804260559380054,,,,,1,BOOST
343.943603515625,,,,,-0.0006713384645991027,-1.5045205354690552,0.007233323063701391,,,,,1,BOOST
368.9697265625,,,,,-0.001613738713786006,-1.5663894414901733,0.008373538963496685,,,,,1,BOOST
388.9482727050781,,,,,-0.00208626058883965,-1.6077524423599243,0.00817181821912527,,,,,1,BOOST
411.71417236328125,,,,,-0.0015504431212320924,-1.6175748109817505,0.009622575715184212,,,,,1,BOOST
428.5911865234375,,,,,-0.001450207899324596,-1.6304676532745361,0.008999782614409924,,,,,1,BOOST
452.7995300292969,,,,,-0.0014289583778008819,-1.6698698997497559,0.009194514714181423,,,,,1,BOOST
478.7630615234375,,,,,-0.0010112968739122152,-1.7199177742004395,0.008021444082260132,,,,,1,BOOST
503.8213195800781,,,,,-0.001701532513834536,-1.7515349388122559,0.008292644284665585,,,,,1,BOOST
529.6455688476562,,,,,-0.0010949068237096071,-1.7636892795562744,0.008390313014388084,,,,,1,BOOST
550.5435791015625,,,,,-0.0010094058234244585,-1.7859604358673096,0.0062336428090929985,,,,,1,BOOST
576.0076904296875,,,,,0.0002613251272123307,-1.8263435363769531,0.005006350111216307,,,,,1,BOOST
599.4899291992188,,,,,-0.002394753508269787,-1.8644704818725586,0.004780065733939409,,,,,1,BOOST
623.06298828125,,,,,-0.001765633700415492,-1.8867405652999878,0.0046071503311395645,,,,,1,BOOST
647.7207641601562,,,,,-0.004406418651342392,-1.9044299125671387,0.002849603770300746,,,,,1,BOOST
672.052490234375,,,,,-0.005001598969101906,-1.9361155033111572,0.003944064024835825,,,,,1,BOOST
698.702392578125,,,,,-0.0038084841798990965,-1.9757009744644165,0.002317232545465231,,,,,1,BOOST
723.461181640625,,,,,-0.004728727042675018,-2.007387399673462,0.0025144475512206554,,,,,1,BOOST
748.0979614257812,,,,,-0.00600150553509593,-2.0308303833007812,0.00392110925167799,,,,,1,BOOST
773.1611328125,,,,,-0.008176805451512337,-2.058960437774658,0.0036492757499217987,,,,,1,BOOST
801.84423828125,,,,,-0.008444279432296753,-2.093766212463379,0.002939620753750205,,,,,1,BOOST
823.9345703125,,,,,-0.009641245007514954,-2.126391887664795,0.002390308305621147,,,,,1,BOOST
847.6142578125,,,,,-0.007125703152269125,-2.1530792713165283,0.0031551760621368885,,,,,1,BOOST
870.4609375,,,,,-0.007696676999330521,-2.1765918731689453,0.0034927360247820616,,,,,1,BOOST
891.3446044921875,,,,,-0.009041737765073776,-2.209458112716675,0.004755857400596142,,,,,1,BOOST
914.5868530273438,,,,,-0.008963893167674541,-2.2444651126861572,0.004469478968530893,,,,,1,BOOST
936.261962890625,,,,,-0.010440820828080177,-2.277101993560791,0.005593463312834501,,,,,1,BOOST
961.7108154296875,,,,,-0.011885732412338257,-2.304595708847046,0.004269384313374758,,,,,1,BOOST
983.0140380859375,,,,,-0.012582039460539818,-2.335843324661255,0.0026411195285618305,,,,,1,BOOST
1004.235595703125,,,,,-0.011731095612049103,-2.371919870376587,0.003666526870802045,,,,,1,BOOST
1028.657958984375,,,,,-0.012246320955455303,-2.4073567390441895,0.0046676150523126125,,,,,1,BOOST
1053.67431640625,,,,,-0.012109591625630856,-2.440032720565796,0.0035255143884569407,,,,,1,BOOST
1075.06640625,,,,,-0.014138001948595047,-2.4677069187164307,0.004153696820139885,,,,,1,BOOST
1095.9398193359375,,,,,-0.014380404725670815,-2.499626636505127,0.003931512124836445,,,,,1,BOOST
1116.9906005859375,,,,,-0.017063450068235397,-2.535550355911255,0.007590859197080135,,,,,1,BOOST
1141.637939453125,,,,,-0.01731455698609352,-2.574333429336548,0.009448414668440819,,,,,1,BOOST
