sim_time,alt,roll,pitch,yaw,status,phase
0.0949999988079071,0.0,-0.00014545164594892412,-0.0011243553599342704,-0.00012613373110070825,0,IDLE
0.19499999284744263,0.2747722566127777,-0.0013363838661462069,-0.0015975036658346653,0.0006560005713254213,1,BOOST
0.29499998688697815,0.6630502939224243,-0.003194924211129546,2.195032539020758e-05,0.0006365783629007638,1,BOOST
0.39500001072883606,1.288148045539856,-0.002282005501911044,-0.001521000755019486,0.0020939339883625507,1,BOOST
0.4950000047683716,1.9941855669021606,-0.0032971592154353857,-0.0010188334854319692,0.00045633901027031243,1,BOOST
0.5950000286102295,2.911404609680176,-0.008973379619419575,-0.0008140059653669596,-0.0001548923901282251,1,BOOST
0.6949999928474426,4.108480453491211,-0.024389445781707764,-0.00013322853192221373,-0.00027668947586789727,1,BOOST
0.7950000166893005,5.680488586425781,-0.05839579552412033,0.0033096761908382177,0.0009497584542259574,1,BOOST
0.8949999809265137,7.605013847351074,-0.12358194589614868,0.003980560228228569,0.0031343018636107445,1,BOOST
0.9950000047683716,10.10271167755127,-0.2217092216014862,0.004756418522447348,0.003704455215483904,1,BOOST
1.0950000286102295,13.320615768432617,-0.3516768515110016,0.0068049198016524315,0.0031642341054975986,1,BOOST
1.1950000524520874,17.311786651611328,-0.5070783495903015,0.006152843590825796,0.004273209720849991,1,BOOST
1.2949999570846558,22.33031463623047,-0.6708204746246338,0.0065175737254321575,0.004521569237112999,1,BOOST
1.3949999809265137,28.715160369873047,-0.8205961585044861,0.007345554418861866,0.002603474073112011,1,BOOST
1.4950000047683716,36.58138656616211,-0.9293078780174255,0.005512948147952557,0.0016024978831410408,1,BOOST
1.5950000286102295,45.62764358520508,-0.9793761372566223,0.005284101702272892,0.002940376987680793,1,BOOST
1.6950000524520874,56.188148498535156,-0.9768567681312561,0.004627235699445009,0.0035246119368821383,1,BOOST
1.7949999570846558,68.19495391845703,-0.9453624486923218,0.004476829897612333,0.0008273362764157355,1,BOOST
1.8949999809265137,81.5083236694336,-0.9241994023323059,0.004029504489153624,0.0017564126756042242,1,BOOST
1.9950000047683716,95.74341583251953,-0.9492188096046448,0.0048707337118685246,0.0023440865334123373,1,BOOST
2.0950000286102295,110.96582794189453,-1.0287781953811646,0.004500362556427717,0.003193461336195469,1,BOOST
2.194999933242798,126.8472900390625,-1.134976863861084,0.002705581719055772,0.004407025407999754,1,BOOST
2.2950000762939453,143.51742553710938,-1.22490656375885,0.0032990765757858753,0.006257625296711922,1,BOOST
2.3949999809265137,160.70553588867188,-1.2674058675765991,0.003742809873074293,0.004203681834042072,1,BOOST
2.494999885559082,178.41152954101562,-1.2605749368667603,0.00376745848916471,0.0034980790223926306,1,BOOST
2.5950000286102295,196.58535766601562,-1.2519928216934204,0.003653158200904727,0.0023143484722822905,1,BOOST
2.694999933242798,215.41920471191406,-1.2803337574005127,0.0019081351347267628,0.0027008927427232265,1,BOOST
2.7950000762939453,234.59283447265625,-1.3493597507476807,0.0028856468852609396,0.004048248287290335,1,BOOST
2.8949999809265137,254.2343292236328,-1.422934889793396,0.004307552706450224,0.006542680785059929,1,BOOST
2.994999885559082,274.16302490234375,-1.4599052667617798,0.003876748029142618,0.0075549716129899025,1,BOOST
