time,altitude,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.0,-0.09435852412233284,909.630857857532,0.038741906324214787,-0.8029472625425305,9.787529235189654,-0.0005200258882101294,-0.0006160101503646445,0.0005590177387631981
0.005,0.29177519323294243,909.6643225822004,-0.0209862938557753,-0.9659471750338845,9.734002156384339,0.0011915702885796104,0.0015310743926986723,0.001447694305277444
0.01,0.09830384004206487,909.5912545102784,0.12424275092978031,-0.9452040222785653,9.902457433809845,0.00015457282597009303,0.0012601749727431594,-4.854908502657815e-05
0.015,-0.07900146858551253,909.6484346204472,-0.06448223182478037,-0.8248686859712735,13.000537459607333,-0.0001527912393928269,-0.0003752486203508932,-0.0011273948381383414
0.02,0.20651825265145682,909.6853195046326,0.07668593450138904,-0.9017830986761327,17.465575305105187,0.0008457428160816746,0.002321570409581397,0.00016674766181457628
0.025,-0.13522756341971776,909.674926748111,0.026241656275184395,-0.7971325607554768,21.89608409986755,-0.0006649513581573346,0.0013175580889921937,0.0004052576893608923
0.03,0.0076470554021886945,909.7215624335065,0.027814279147127675,-0.8628581545285371,26.212778435414673,-0.0006434371962017991,-0.00014515041003551897,-0.0008490422527423814
0.035,0.09060015015496138,909.6845635652281,0.011885148456685618,-0.8274009976473565,30.632701956278282,0.0003371335841898021,0.0025343308240706724,0.002055132242017347
0.04,-0.6525239023167343,909.6506416110227,0.013371158437122228,-0.874322564974109,35.05197824599055,0.00029562723097850425,0.0011356264716432954,0.0005203356402047962
0.045,-0.17339484427879057,909.7094205434555,0.04587753981592378,-0.8734067278992004,39.37745480978909,0.0013617404339567318,-8.254273325472485e-05,0.0025533201129353984
0.05,1.1307483322774925,909.6274812193976,-0.052842251819412094,-0.7891315692462105,43.651792450107955,0.0011238318837246317,0.00047165688617929817,0.00046396765707271224
0.055,0.03342466720426258,909.6200313756997,-0.016364326812294796,-0.8624511116574535,48.48939810411071,-0.0008437250649391735,0.001405183437411519,-0.0017761829630449342
0.06,0.1104528171122413,909.6442842318477,0.06258876742161,-0.9150377791370824,53.92672860727695,0.0018472595391195046,0.0001733276858114984,0.0006167074044058366
0.065,-0.07329834023381741,909.7504146405397,-0.047109388141702686,-0.8097494948996137,59.80004367905956,0.000614913569555098,0.0019132706665747924,0.0007471286257400322
0.07,-0.5444835993228012,909.6000721445356,0.08919197934978193,-0.7779280874268429,65.76850783325548,0.00032592098378724904,0.00033807850591994966,0.0006447935205213701
0.075,-0.09625951859708004,909.6985499809088,-0.02804209971709709,-0.9295741080330155,71.51228285431375,0.00013669701862891183,0.00044037552456120964,-0.0003725632067189729
0.08,0.9284379432315265,909.6251463065619,-0.046557126518956465,-0.8631007443097425,76.88433422563237,0.00030992642614256506,-0.0006840497103525733,-0.00032365325397604237
0.085,-0.14591265690467248,909.6740386532489,-0.008706052438893603,-0.8530052184296116,81.354846210563,-2.7653567791339496e-05,-0.001199282148147191,-0.002061155938588356
0.09,0.22035118286896915,909.6547717741158,0.022312324702455602,-0.8419520297380515,84.92913301192327,-0.0004981098025622178,-0.0007118931950149709,-0.0001193521984820329
0.095,1.0012598364122625,909.6716864528248,0.07769799368550494,-0.8907463188582819,87.14841179773744,-0.0003706154989725183,0.0018505963522473753,-0.0010872315999980683
0.1,-0.10054654432925017,909.6698777542048,-0.022380209084026992,-0.8091555522703746,87.73970717970427,0.0011089720488935992,-1.886286272168442e-05,0.0005344645933529328
0.105,0.031093823822800862,909.5689625215849,-0.008820890903862219,-0.9059953463780709,87.23250692425644,0.0002541754362723462,0.0010941325163443337,0.0017941832442817905
0.11,0.7826423556895229,909.7080700385852,-0.09772367483510955,-0.9041620204791104,86.78420263974425,-0.0002713976396691899,0.0008398454123668981,-0.0008044114231754582
0.115,0.8433595913431736,909.653386830294,-0.03471630459224215,-0.8161073748787053,86.3202835635054,-0.0015803275890120554,-0.0008543805976383989,0.0013999905807248875
0.12,0.07222613418600383,909.6450868689534,-0.10802180616404608,-0.915736066635495,85.76119805683004,0.00034975683701355927,-9.935475396497583e-05,-1.5721489135519232e-05
0.125,-0.13446211060787502,909.654743140881,0.0387219165279761,-0.8529648411078815,85.37790999874052,3.3391064185665544e-05,-0.0003802899671965014,-0.0014309083119117155
0.13,0.8173015404220667,909.6140084087212,0.08173477169236194,-0.869897645386512,84.82756974794749,-0.00039417676307418217,-0.001752478441245022,-0.0001016873512865229
0.135,0.17296948379983212,909.6140932477186,-0.045934953757124516,-0.8742235441800759,84.44303275687639,-0.0005417925011148065,0.000577604729599751,0.0006114419351656714
0.14,0.7073819307022318,909.6116957809179,-0.030408259281433165,-0.8560544499500393,83.91118466067341,-0.0017077739444268112,0.00031384578563306076,-0.0008574464806554434
0.145,0.11511964867206595,909.5537133895255,-0.007918034655804004,-0.8777675003648686,83.428496156785,0.0001609020068713332,0.0002725476584247471,4.667855865915841e-05
0.15,-0.15519244721041747,909.6049104992745,-0.033986239721986805,-0.9001969371425167,82.91353033420579,0.0007838766675901119,-0.00040382982501523817,-0.0008195577478469323
0.155,0.7930244521759573,909.6128105766547,-0.08094339898493644,-0.8528431496529184,82.53372463943965,0.000965526023470859,0.0005986216825652689,-0.00063518817398674
0.16,-0.43104443182849383,909.6389424504538,0.050703194182418095,-0.9254804452305874,82.01069822882978,-0.0005385101392647027,0.001825843257772575,-0.000767662143707547
0.165,0.859210578454262,909.569699756959,0.02892679135358917,-0.861483716329805,81.47791013890723,-0.0013360983164201453,-0.0016289791985383407,-0.0012878099752240395
0.17,1.3679346876410499,909.6159109437998,-0.025096162602851718,-0.8398496205639626,80.99529229491691,-0.0011876513866848197,0.00035815410928705023,-0.00010572667486123429
0.17500000000000002,1.1541314292412537,909.5517529090433,-0.03422714833469475,-0.8520951971164523,80.55981767712714,0.0006104660818202436,-0.0008219608740857571,0.00011081352320500707
0.18,0.07815321568474043,909.623050279222,0.043146718032766734,-0.869920154229333,80.03489570011176,0.0009878006655684292,-0.0014308634741104142,-0.0015455731306471647
0.185,0.2846619890117557,909.5881365712004,-0.10771718733663854,-0.7963056399908752,79.59436585413046,-0.0011751766928027724,0.0003114357308603429,0.00023316124653364898
0.19,0.3798039653130702,909.5315150509145,-0.015219669109949041,-0.9051840137244627,79.16179050132268,-4.575445505507802e-05,0.001052918094803239,-0.0005040519352980279
